X	Y	NorthWest		NorthEast		SouthWest		SouthEast		Elevation
0 0 ['38d5m24s', '111d7m2s'] ['38d5m24s', '111d0m0s'] ['38d0m0s', '111d7m2s'] ['38d0m0s', '111d0m0s'] 2096
1 0 ['38d5m24s', '111d14m4s'] ['38d5m24s', '111d7m2s'] ['38d0m0s', '111d14m4s'] ['38d0m0s', '111d7m2s'] 2321
2 0 ['38d5m24s', '111d21m6s'] ['38d5m24s', '111d14m4s'] ['38d0m0s', '111d21m6s'] ['38d0m0s', '111d14m4s'] 3203
3 0 ['38d5m24s', '111d28m8s'] ['38d5m24s', '111d21m6s'] ['38d0m0s', '111d28m8s'] ['38d0m0s', '111d21m6s'] 3387
4 0 ['38d5m24s', '111d35m10s'] ['38d5m24s', '111d28m8s'] ['38d0m0s', '111d35m10s'] ['38d0m0s', '111d28m8s'] 3428
5 0 ['38d5m24s', '111d42m12s'] ['38d5m24s', '111d35m10s'] ['38d0m0s', '111d42m12s'] ['38d0m0s', '111d35m10s'] 3233
6 0 ['38d5m24s', '111d49m14s'] ['38d5m24s', '111d42m12s'] ['38d0m0s', '111d49m14s'] ['38d0m0s', '111d42m12s'] 3141
7 0 ['38d5m24s', '111d56m16s'] ['38d5m24s', '111d49m14s'] ['38d0m0s', '111d56m16s'] ['38d0m0s', '111d49m14s'] 3128
8 0 ['38d5m24s', '112d3m18s'] ['38d5m24s', '111d56m16s'] ['38d0m0s', '112d3m18s'] ['38d0m0s', '111d56m16s'] 2470
9 0 ['38d5m24s', '112d10m20s'] ['38d5m24s', '112d3m18s'] ['38d0m0s', '112d10m20s'] ['38d0m0s', '112d3m18s'] 3097
10 0 ['38d5m24s', '112d17m22s'] ['38d5m24s', '112d10m20s'] ['38d0m0s', '112d17m22s'] ['38d0m0s', '112d10m20s'] 3368
11 0 ['38d5m24s', '112d24m24s'] ['38d5m24s', '112d17m22s'] ['38d0m0s', '112d24m24s'] ['38d0m0s', '112d17m22s'] 2858
12 0 ['38d5m24s', '112d31m26s'] ['38d5m24s', '112d24m24s'] ['38d0m0s', '112d31m26s'] ['38d0m0s', '112d24m24s'] 2588
13 0 ['38d5m24s', '112d38m28s'] ['38d5m24s', '112d31m26s'] ['38d0m0s', '112d38m28s'] ['38d0m0s', '112d31m26s'] 2669
14 0 ['38d5m24s', '112d45m30s'] ['38d5m24s', '112d38m28s'] ['38d0m0s', '112d45m30s'] ['38d0m0s', '112d38m28s'] 2653
15 0 ['38d5m24s', '112d52m32s'] ['38d5m24s', '112d45m30s'] ['38d0m0s', '112d52m32s'] ['38d0m0s', '112d45m30s'] 2641
16 0 ['38d5m24s', '112d59m34s'] ['38d5m24s', '112d52m32s'] ['38d0m0s', '112d59m34s'] ['38d0m0s', '112d52m32s'] 2118
17 0 ['38d5m24s', '113d6m36s'] ['38d5m24s', '112d59m34s'] ['38d0m0s', '113d6m36s'] ['38d0m0s', '112d59m34s'] 2222
18 0 ['38d5m24s', '113d13m38s'] ['38d5m24s', '113d6m36s'] ['38d0m0s', '113d13m38s'] ['38d0m0s', '113d6m36s'] 2061
19 0 ['38d5m24s', '113d20m40s'] ['38d5m24s', '113d13m38s'] ['38d0m0s', '113d20m40s'] ['38d0m0s', '113d13m38s'] 1618
20 0 ['38d5m24s', '113d27m42s'] ['38d5m24s', '113d20m40s'] ['38d0m0s', '113d27m42s'] ['38d0m0s', '113d20m40s'] 1898
21 0 ['38d5m24s', '113d34m44s'] ['38d5m24s', '113d27m42s'] ['38d0m0s', '113d34m44s'] ['38d0m0s', '113d27m42s'] 2143
22 0 ['38d5m24s', '113d41m46s'] ['38d5m24s', '113d34m44s'] ['38d0m0s', '113d41m46s'] ['38d0m0s', '113d34m44s'] 2099
