0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
1 0 ['38d2m42s', '111d7m2s'] ['38d2m42s', '111d3m31s'] ['38d0m0s', '111d7m2s'] ['38d0m0s', '111d3m31s'] 2096
2 0 ['38d2m42s', '111d10m33s'] ['38d2m42s', '111d7m2s'] ['38d0m0s', '111d10m33s'] ['38d0m0s', '111d7m2s'] 2321
3 0 ['38d2m42s', '111d14m4s'] ['38d2m42s', '111d10m33s'] ['38d0m0s', '111d14m4s'] ['38d0m0s', '111d10m33s'] 2300
4 0 ['38d2m42s', '111d17m35s'] ['38d2m42s', '111d14m4s'] ['38d0m0s', '111d17m35s'] ['38d0m0s', '111d14m4s'] 2589
5 0 ['38d2m42s', '111d21m6s'] ['38d2m42s', '111d17m35s'] ['38d0m0s', '111d21m6s'] ['38d0m0s', '111d17m35s'] 3133
6 0 ['38d2m42s', '111d24m37s'] ['38d2m42s', '111d21m6s'] ['38d0m0s', '111d24m37s'] ['38d0m0s', '111d21m6s'] 3232
7 0 ['38d2m42s', '111d28m8s'] ['38d2m42s', '111d24m37s'] ['38d0m0s', '111d28m8s'] ['38d0m0s', '111d24m37s'] 3080
8 0 ['38d2m42s', '111d31m39s'] ['38d2m42s', '111d28m8s'] ['38d0m0s', '111d31m39s'] ['38d0m0s', '111d28m8s'] 3378
9 0 ['38d2m42s', '111d35m10s'] ['38d2m42s', '111d31m39s'] ['38d0m0s', '111d35m10s'] ['38d0m0s', '111d31m39s'] 3395
10 0 ['38d2m42s', '111d38m41s'] ['38d2m42s', '111d35m10s'] ['38d0m0s', '111d38m41s'] ['38d0m0s', '111d35m10s'] 3233
11 0 ['38d2m42s', '111d42m12s'] ['38d2m42s', '111d38m41s'] ['38d0m0s', '111d42m12s'] ['38d0m0s', '111d38m41s'] 3159
12 0 ['38d2m42s', '111d45m43s'] ['38d2m42s', '111d42m12s'] ['38d0m0s', '111d45m43s'] ['38d0m0s', '111d42m12s'] 3104
13 0 ['38d2m42s', '111d49m14s'] ['38d2m42s', '111d45m43s'] ['38d0m0s', '111d49m14s'] ['38d0m0s', '111d45m43s'] 3057
14 0 ['38d2m42s', '111d52m45s'] ['38d2m42s', '111d49m14s'] ['38d0m0s', '111d52m45s'] ['38d0m0s', '111d49m14s'] 3128
15 0 ['38d2m42s', '111d56m16s'] ['38d2m42s', '111d52m45s'] ['38d0m0s', '111d56m16s'] ['38d0m0s', '111d52m45s'] 3109
16 0 ['38d2m42s', '111d59m47s'] ['38d2m42s', '111d56m16s'] ['38d0m0s', '111d59m47s'] ['38d0m0s', '111d56m16s'] 2403
17 0 ['38d2m42s', '112d3m18s'] ['38d2m42s', '111d59m47s'] ['38d0m0s', '112d3m18s'] ['38d0m0s', '111d59m47s'] 2470
18 0 ['38d2m42s', '112d6m49s'] ['38d2m42s', '112d3m18s'] ['38d0m0s', '112d6m49s'] ['38d0m0s', '112d3m18s'] 2756
19 0 ['38d2m42s', '112d10m20s'] ['38d2m42s', '112d6m49s'] ['38d0m0s', '112d10m20s'] ['38d0m0s', '112d6m49s'] 3097
20 0 ['38d2m42s', '112d13m51s'] ['38d2m42s', '112d10m20s'] ['38d0m0s', '112d13m51s'] ['38d0m0s', '112d10m20s'] 3368
21 0 ['38d2m42s', '112d17m22s'] ['38d2m42s', '112d13m51s'] ['38d0m0s', '112d17m22s'] ['38d0m0s', '112d13m51s'] 3234
22 0 ['38d2m42s', '112d20m53s'] ['38d2m42s', '112d17m22s'] ['38d0m0s', '112d20m53s'] ['38d0m0s', '112d17m22s'] 2858
23 0 ['38d2m42s', '112d24m24s'] ['38d2m42s', '112d20m53s'] ['38d0m0s', '112d24m24s'] ['38d0m0s', '112d20m53s'] 2215
24 0 ['38d2m42s', '112d27m55s'] ['38d2m42s', '112d24m24s'] ['38d0m0s', '112d27m55s'] ['38d0m0s', '112d24m24s'] 2440
25 0 ['38d2m42s', '112d31m26s'] ['38d2m42s', '112d27m55s'] ['38d0m0s', '112d31m26s'] ['38d0m0s', '112d27m55s'] 2545
26 0 ['38d2m42s', '112d34m57s'] ['38d2m42s', '112d31m26s'] ['38d0m0s', '112d34m57s'] ['38d0m0s', '112d31m26s'] 2606
27 0 ['38d2m42s', '112d38m28s'] ['38d2m42s', '112d34m57s'] ['38d0m0s', '112d38m28s'] ['38d0m0s', '112d34m57s'] 2558
28 0 ['38d2m42s', '112d41m59s'] ['38d2m42s', '112d38m28s'] ['38d0m0s', '112d41m59s'] ['38d0m0s', '112d38m28s'] 2653
29 0 ['38d2m42s', '112d45m30s'] ['38d2m42s', '112d41m59s'] ['38d0m0s', '112d45m30s'] ['38d0m0s', '112d41m59s'] 1871
30 0 ['38d2m42s', '112d49m1s'] ['38d2m42s', '112d45m30s'] ['38d0m0s', '112d49m1s'] ['38d0m0s', '112d45m30s'] 2142
31 0 ['38d2m42s', '112d52m32s'] ['38d2m42s', '112d49m1s'] ['38d0m0s', '112d52m32s'] ['38d0m0s', '112d49m1s'] 2268
